id,latitude,longitude,elevation(m),component,response,unit
CI.ADO..HH,34.55046,-117.43391000000001,908.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s
CI.ADO..HN,34.55046,-117.43391000000001,908.0,"E,N,Z","214253.00,214287.00,214253.00",m/s**2
CI.ALP..HH,34.68708,-118.29946000000001,753.0,"E,N,Z","624238000.00,624238000.00,624238000.00",m/s
CI.ALP..HN,34.68708,-118.29946000000001,753.0,"E,N,Z","213809.00,214185.00,213911.00",m/s**2
CI.ARV..HH,35.1269,-118.83008999999998,258.0,"E,N,Z","624237000.00,624237000.00,624237000.00",m/s
CI.ARV..HN,35.1269,-118.83008999999998,258.0,"E,N,Z","214048.00,214219.00,213740.00",m/s**2
CI.AVM..HH,35.06562,-116.61549,708.5,"E,N,Z","314768000.00,314768000.00,314768000.00",m/s
CI.AVM..HN,35.06562,-116.61549,708.5,"E,N,Z","213769.00,213641.00,213726.00",m/s**2
CI.BAK..HH,35.344440000000006,-119.10445,116.0,"E,N,Z","626628000.00,627467000.00,626628000.00",m/s
CI.BAK..HN,35.344440000000006,-119.10445,116.0,"E,N,Z","214355.00,214355.00,214253.00",m/s**2
CI.BAR..HH,32.68005,-116.67215,529.0,"E,N,Z","629865000.00,629865000.00,629865000.00",m/s
CI.BAR..HN,32.68005,-116.67215,529.0,"E,N,Z","214532.00,214532.00,214292.00",m/s**2
CI.BBR..HH,34.2623,-116.92075,2069.0,"E,N,Z","624237000.00,624237000.00,624237000.00",m/s
CI.BBR..HN,34.2623,-116.92075,2069.0,"E,N,Z","213808.00,213774.00,214116.00",m/s**2
CI.BBS..HH,33.92139,-116.98058,785.0,"E,N,Z","629865000.00,629865000.00,629865000.00",m/s
CI.BBS..HN,33.92139,-116.98058,785.0,"E,N,Z","214190.00,214601.00,214155.00",m/s**2
CI.BC3..HH,33.65515,-115.45366000000001,1137.0,"E,N,Z","629865000.00,629865000.00,629865000.00",m/s
CI.BC3..HN,33.65515,-115.45366000000001,1137.0,"E,N,Z","213616.00,214130.00,214601.00",m/s**2
CI.BCW..HH,34.940090000000005,-119.41313000000001,1101.0,"E,N,Z","629145000.00,629145000.00,629145000.00",m/s
CI.BCW..HN,34.940090000000005,-119.41313000000001,1101.0,"E,N,Z","214082.00,214321.00,214287.00",m/s**2
CI.BEL..HH,34.0006,-115.9982,1388.0,"E,N,Z","629145000.00,629145000.00,629145000.00",m/s
CI.BEL..HN,34.0006,-115.9982,1388.0,"E,N,Z","213945.00,214184.00,214321.00",m/s**2
CI.BFS..HH,34.23883,-117.65853,1312.0,"E,N,Z","629865000.00,629865000.00,629865000.00",m/s
CI.BFS..HN,34.23883,-117.65853,1312.0,"E,N,Z","214292.00,214429.00,214224.00",m/s**2
CI.BHP..HH,33.99053,-118.36171000000002,81.0,"E,N,Z","839699000.00,836343000.00,837182000.00",m/s
CI.BHP..HN,33.99053,-118.36171000000002,81.0,"E,N,Z","214184.00,214355.00,214047.00",m/s**2
CI.BLA2..HH,34.069309999999994,-116.38993,1245.0,"E,N,Z","624238000.00,624238000.00,624238000.00",m/s
