station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.WMF..HH,2019-07-06T02:26:58.968,512,2019-07-06T02:27:04.088,0.449,P,waveforms/2019-07-06T02:26:58/CI.WMF..HH*.mseed,4.31487251262e-07,4.31487251262e-07
CI.WMF..HH,2019-07-06T02:26:58.968,2159,2019-07-06T02:27:20.558,0.664,P,waveforms/2019-07-06T02:26:58/CI.WMF..HH*.mseed,3.36680614055e-07,3.36680614055e-07
CI.WMF..HH,2019-07-06T02:26:58.968,1172,2019-07-06T02:27:10.688,0.712,S,waveforms/2019-07-06T02:26:58/CI.WMF..HH*.mseed,4.18737556629e-07,4.18737556629e-07
CI.SRT..HH,2019-07-06T02:27:30.968,2434,2019-07-06T02:27:55.308,0.986,P,waveforms/2019-07-06T02:27:30/CI.SRT..HH*.mseed,1.85584885912e-05,1.85584885912e-05
CI.SRT..HH,2019-07-06T02:27:30.968,2745,2019-07-06T02:27:58.418,0.833,S,waveforms/2019-07-06T02:27:30/CI.SRT..HH*.mseed,1.85584885912e-05,1.85584885912e-05
CI.WVP2..HN,2019-07-06T02:17:37.000,153,2019-07-06T02:17:38.530,0.419,P,waveforms/2019-07-06T02:17:37/CI.WVP2..HN*.mseed,1.19744174754e-06,1.19744174754e-06
CI.WVP2..HN,2019-07-06T02:17:37.000,558,2019-07-06T02:17:42.580,0.751,S,waveforms/2019-07-06T02:17:37/CI.WVP2..HN*.mseed,1.19744174754e-06,1.19744174754e-06
CI.TOW2..HH,2019-07-06T02:26:58.968,105,2019-07-06T02:27:00.018,0.979,P,waveforms/2019-07-06T02:26:58/CI.TOW2..HH*.mseed,2.27336977332e-06,2.27336977332e-06
CI.TOW2..HH,2019-07-06T02:26:58.968,1619,2019-07-06T02:27:15.158,0.794,P,waveforms/2019-07-06T02:26:58/CI.TOW2..HH*.mseed,1.54695510446e-06,1.54695510446e-06
CI.TOW2..HH,2019-07-06T02:26:58.968,450,2019-07-06T02:27:03.468,0.687,S,waveforms/2019-07-06T02:26:58/CI.TOW2..HH*.mseed,2.27336977332e-06,2.27336977332e-06
